DATASET,AutoDCE-TS,AutoCE-TS,PYCARET,RF,XGBOOST,LIGHTGBM,LSTM,TCN,NBEATS,TFT,iTFM
IOT_1_1,0.55,0.1,0.12,0.31,0.29,0.32,0.56,0.38,0.22,0.37,0.22
IOT_1_15,0.49,0.32,0.24,0.5,0.48,0.47,0.54,0.45,0.32,0.42,0.26
IOT_1_30,0.37,0.65,0.23,0.26,0.38,0.26,0.38,0.3,0.25,0.36,0.30
IOT_2_1,0.26,0.08,0.2,0.44,0.45,0.46,0.48,0.03,0.12,0.12,0.07
IOT_2_15,0.45,0.72,0.43,0.36,0.36,0.35,0.53,0.47,0.31,0.38,0.36
IOT_2_30,0.3,0.58,0.3,0.46,0.34,0.33,0.76,0.37,0.39,0.3,0.28
IOT_3_1,0.17,0.31,0.33,0.17,0.17,0.12,0.37,0.41,0.41,0.13,0.24
IOT_3_15,0.45,0.38,0.42,0.18,0.1,0.18,0.36,0.41,0.41,0.32,0.34
IOT_3_30,0.34,0.34,0.35,0.23,0.33,0.23,0.46,0.32,0.26,0.27,0.29
IOT_4_1,0.18,0.04,52.61,0.41,0.4,0.41,0.36,26.57,0.05,0.12,0.03
IOT_4_15,0.37,246.32,36.88,0.39,0.29,0.29,0.36,22.93,0.23,0.21,0.08
IOT_4_30,0.33,1.54,42.13,0.41,0.29,0.27,0.46,24.26,0.44,0.37,0.31
IOT_5_1,0.16,0.1,0.19,0.34,0.31,0.32,1.5,0.47,0.13,0.1,0.12
IOT_5_15,0.36,0.49,0.32,0.57,0.45,0.46,1.5,0.48,0.56,0.29,0.29
IOT_5_30,0.38,0.51,0.47,0.32,0.34,0.34,1.4,0.54,1.45,0.43,0.44
